city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Vista,273.71,8.23,84.4,2.65,3.31,5.68,123.0
Irving,273.71,8.05,80.82,2.44,15.12,31.95,114.0
Redlands,233.65,4.41,77.96,0.36,1.87,6.24,107.0
Rochester Hills,310.42,12.51,47.21,0.94,2.65,3.35,40.0
New Haven,330.45,17.99,51.5,3.87,3.87,5.37,43.0
Saint George,226.97,0.85,54.36,0.42,2.06,8.41,46.0
Sparks,397.21,20.39,55.79,2.35,13.52,15.91,47.0
Pearland,233.65,1.59,87.26,0.38,4.91,13.32,130.0
Fort Worth,280.38,4.63,85.83,1.74,21.51,39.82,127.0
Auburn,226.97,1.27,85.12,0.51,5.79,13.82,125.0
Davis,253.68,2.42,70.1,0.21,0.66,0.92,84.0
Dale City,300.41,8.91,68.67,1.28,3.85,5.7,80.0
Alexandria,233.65,0.64,81.54,0.37,0.81,3.47,116.0
Cedar Rapids,433.92,21.25,39.7,0.44,14.47,16.07,46.0
Vallejo,243.66,2.61,75.82,0.36,0.97,1.6,102.0
Overland Park,317.1,13.88,55.08,2.24,6.88,7.66,46.0
Hawthorne,290.39,11.82,75.1,4.11,2.09,4.07,100.0
Conroe,230.31,2.66,81.54,1.49,4.38,8.53,116.0
Danbury,300.41,11.82,57.94,3.37,2.28,3.4,49.0
The Woodlands,233.65,4.07,80.82,2.53,4.68,9.65,114.0
Maple Grove,263.69,4.97,45.42,2.21,0.91,1.37,38.0
Madison,453.95,30.5,40.41,1.59,11.45,13.22,38.0
Pueblo,233.65,5.74,83.69,1.06,0.5,0.83,121.0
Spring Hill,433.92,21.59,36.48,1.46,16.89,18.34,52.0
Paterson,320.44,17.82,52.93,4.65,3.69,5.83,44.0
Boston,350.48,23.31,41.49,1.73,2.52,4.39,35.0
Frisco,283.72,8.31,82.25,2.71,17.84,35.64,118.0
Kenner,236.99,5.06,91.55,2.47,4.0,10.45,141.0
Naperville,383.85,22.28,46.49,1.82,9.43,11.67,39.0
League City,240.33,3.17,87.26,0.81,4.92,12.98,130.0
Florence-Graham,,,,,,,
Kennewick,240.33,1.14,82.25,0.12,0.5,0.7,118.0
Sandy,250.34,9.34,71.53,2.41,3.28,4.56,89.0
Salt Lake City,220.3,5.27,74.39,1.49,0.78,1.92,98.0
Tampa,300.41,15.25,63.66,1.67,5.33,7.66,64.0
Detroit,330.45,18.85,42.56,2.18,3.39,4.17,36.0
Palmdale,233.65,1.5,77.25,0.26,1.61,4.31,105.0
Brownsville,243.66,1.76,77.96,0.86,6.05,18.0,107.0
San Clemente,253.68,1.61,48.64,0.04,1.25,1.35,41.0
Palm Coast,250.34,8.23,61.51,2.09,4.16,5.85,57.0
Dayton,323.77,14.57,60.8,1.06,5.13,6.36,55.0
Manteca,257.02,4.5,67.23,0.97,0.8,1.38,75.0
Tacoma,240.33,1.5,80.82,0.11,0.5,1.07,114.0
Johns Creek,277.04,10.54,63.66,6.2,8.55,16.38,64.0
Clearwater,277.04,9.68,69.38,1.52,3.93,6.36,82.0
Houston,247.0,5.01,83.69,1.25,5.12,12.93,121.0
Palo Alto,407.22,29.13,56.51,6.14,10.43,17.86,47.0
Savannah,260.35,7.03,62.94,0.25,3.0,4.34,62.0
Glen Burnie,327.11,19.88,60.8,2.83,4.4,6.45,55.0
